Operador;Dead;Alive;Score
AddNot;25146;4013;0,86
ExceptionReplacer;748;68;0,92
NumberReplacer;51222;28116;0,65
ReplaceAndWithOr;1029;1651;0,38
ReplaceBinaryOperator_Add_BitAnd;5672;375;0,94
ReplaceBinaryOperator_Add_BitOr;4301;1746;0,71
ReplaceBinaryOperator_Add_BitXor;4607;1440;0,76
ReplaceBinaryOperator_Add_Div;5861;186;0,97
ReplaceBinaryOperator_Add_FloorDiv;5407;640;0,89
ReplaceBinaryOperator_Add_LShift;5396;651;0,89
ReplaceBinaryOperator_Add_Mod;5588;459;0,92
ReplaceBinaryOperator_Add_Mul;5364;683;0,89
ReplaceBinaryOperator_Add_Pow;5372;675;0,89
ReplaceBinaryOperator_Add_RShift;5670;377;0,94
ReplaceBinaryOperator_Add_Sub;5583;464;0,92
ReplaceBinaryOperator_BitAnd_Add;22;0;1,00
ReplaceBinaryOperator_BitAnd_BitOr;22;0;1,00
ReplaceBinaryOperator_BitAnd_BitXor;22;0;1,00
ReplaceBinaryOperator_BitAnd_Div;22;0;1,00
ReplaceBinaryOperator_BitAnd_FloorDiv;22;0;1,00
ReplaceBinaryOperator_BitAnd_LShift;22;0;1,00
ReplaceBinaryOperator_BitAnd_Mod;22;0;1,00
ReplaceBinaryOperator_BitAnd_Mul;22;0;1,00
ReplaceBinaryOperator_BitAnd_Pow;22;0;1,00
ReplaceBinaryOperator_BitAnd_RShift;22;0;1,00
ReplaceBinaryOperator_BitAnd_Sub;22;0;1,00
ReplaceBinaryOperator_BitXor_Add;57;2;0,97
ReplaceBinaryOperator_BitXor_BitAnd;59;0;1,00
ReplaceBinaryOperator_BitXor_BitOr;57;2;0,97
ReplaceBinaryOperator_BitXor_Div;59;0;1,00
ReplaceBinaryOperator_BitXor_FloorDiv;59;0;1,00
ReplaceBinaryOperator_BitXor_LShift;59;0;1,00
ReplaceBinaryOperator_BitXor_Mod;58;1;0,98
ReplaceBinaryOperator_BitXor_Mul;59;0;1,00
ReplaceBinaryOperator_BitXor_Pow;59;0;1,00
ReplaceBinaryOperator_BitXor_RShift;59;0;1,00
ReplaceBinaryOperator_BitXor_Sub;24;35;0,41
ReplaceBinaryOperator_FloorDiv_Add;439;19;0,96
ReplaceBinaryOperator_FloorDiv_BitAnd;426;32;0,93
ReplaceBinaryOperator_FloorDiv_BitOr;431;27;0,94
ReplaceBinaryOperator_FloorDiv_BitXor;411;47;0,90
ReplaceBinaryOperator_FloorDiv_Div;420;38;0,92
ReplaceBinaryOperator_FloorDiv_LShift;420;38;0,92
ReplaceBinaryOperator_FloorDiv_Mod;413;45;0,90
ReplaceBinaryOperator_FloorDiv_Mul;420;38;0,92
ReplaceBinaryOperator_FloorDiv_Pow;420;38;0,92
ReplaceBinaryOperator_FloorDiv_RShift;411;47;0,90
ReplaceBinaryOperator_FloorDiv_Sub;389;69;0,85
ReplaceBinaryOperator_LShift_Add;358;75;0,83
ReplaceBinaryOperator_LShift_BitAnd;358;75;0,83
ReplaceBinaryOperator_LShift_BitOr;358;75;0,83
ReplaceBinaryOperator_LShift_BitXor;358;75;0,83
ReplaceBinaryOperator_LShift_Div;413;20;0,95
ReplaceBinaryOperator_LShift_FloorDiv;358;75;0,83
ReplaceBinaryOperator_LShift_Mod;358;75;0,83
ReplaceBinaryOperator_LShift_Mul;358;75;0,83
ReplaceBinaryOperator_LShift_Pow;378;55;0,87
ReplaceBinaryOperator_LShift_RShift;358;75;0,83
ReplaceBinaryOperator_LShift_Sub;358;75;0,83
ReplaceBinaryOperator_Mod_Add;1249;142;0,90
ReplaceBinaryOperator_Mod_BitAnd;1387;4;1,00
ReplaceBinaryOperator_Mod_BitOr;1383;8;0,99
ReplaceBinaryOperator_Mod_BitXor;1383;8;0,99
ReplaceBinaryOperator_Mod_Div;1391;0;1,00
ReplaceBinaryOperator_Mod_FloorDiv;1391;0;1,00
ReplaceBinaryOperator_Mod_LShift;1391;0;1,00
ReplaceBinaryOperator_Mod_Mul;1391;0;1,00
ReplaceBinaryOperator_Mod_Pow;1240;151;0,89
ReplaceBinaryOperator_Mod_RShift;1390;1;1,00
ReplaceBinaryOperator_Mod_Sub;1229;162;0,88
ReplaceBinaryOperator_Mul_Add;1042;89;0,92
ReplaceBinaryOperator_Mul_BitAnd;1084;47;0,96
ReplaceBinaryOperator_Mul_BitOr;1068;63;0,94
ReplaceBinaryOperator_Mul_BitXor;1088;43;0,96
ReplaceBinaryOperator_Mul_Div;876;255;0,77
ReplaceBinaryOperator_Mul_FloorDiv;862;269;0,76
ReplaceBinaryOperator_Mul_LShift;1101;30;0,97
ReplaceBinaryOperator_Mul_Mod;1085;46;0,96
ReplaceBinaryOperator_Mul_Pow;1037;94;0,92
ReplaceBinaryOperator_Mul_RShift;1085;46;0,96
ReplaceBinaryOperator_Mul_Sub;1088;43;0,96
ReplaceBinaryOperator_Pow_Add;41;0;1,00
ReplaceBinaryOperator_Pow_BitAnd;41;0;1,00
ReplaceBinaryOperator_Pow_BitOr;41;0;1,00
ReplaceBinaryOperator_Pow_BitXor;41;0;1,00
ReplaceBinaryOperator_Pow_Div;41;0;1,00
ReplaceBinaryOperator_Pow_FloorDiv;41;0;1,00
ReplaceBinaryOperator_Pow_LShift;41;0;1,00
ReplaceBinaryOperator_Pow_Mod;41;0;1,00
ReplaceBinaryOperator_Pow_Mul;39;2;0,95
ReplaceBinaryOperator_Pow_RShift;41;0;1,00
ReplaceBinaryOperator_Pow_Sub;41;0;1,00
ReplaceBinaryOperator_Sub_Add;3363;1230;0,73
ReplaceBinaryOperator_Sub_BitAnd;2617;1976;0,57
ReplaceBinaryOperator_Sub_BitOr;3368;1225;0,73
ReplaceBinaryOperator_Sub_BitXor;2056;2537;0,45
ReplaceBinaryOperator_Sub_Div;4510;83;0,98
ReplaceBinaryOperator_Sub_FloorDiv;3444;1149;0,75
ReplaceBinaryOperator_Sub_LShift;3370;1223;0,73
ReplaceBinaryOperator_Sub_Mod;3021;1572;0,66
ReplaceBinaryOperator_Sub_Mul;3367;1226;0,73
ReplaceBinaryOperator_Sub_Pow;3390;1203;0,74
ReplaceBinaryOperator_Sub_RShift;2186;2407;0,48
ReplaceBreakWithContinue;62;103;0,38
ReplaceComparisonOperator_Eq_Gt;5030;1027;0,83
ReplaceComparisonOperator_Eq_GtE;3740;2317;0,62
ReplaceComparisonOperator_Eq_Is;81;4483;0,02
ReplaceComparisonOperator_Eq_IsNot;3972;592;0,87
ReplaceComparisonOperator_Eq_Lt;5478;579;0,90
ReplaceComparisonOperator_Eq_LtE;3421;2636;0,56
ReplaceComparisonOperator_Eq_NotEq;5440;617;0,90
ReplaceComparisonOperator_GtE_Eq;262;1;1,00
ReplaceComparisonOperator_GtE_Gt;260;3;0,99
ReplaceComparisonOperator_GtE_Lt;263;0;1,00
ReplaceComparisonOperator_GtE_LtE;263;0;1,00
ReplaceComparisonOperator_GtE_NotEq;263;0;1,00
ReplaceComparisonOperator_Gt_Eq;1484;865;0,63
ReplaceComparisonOperator_Gt_GtE;688;1661;0,29
ReplaceComparisonOperator_Gt_Is;1383;851;0,62
ReplaceComparisonOperator_Gt_IsNot;1465;769;0,66
ReplaceComparisonOperator_Gt_Lt;2264;85;0,96
ReplaceComparisonOperator_Gt_LtE;2242;107;0,95
ReplaceComparisonOperator_Gt_NotEq;1501;848;0,64
ReplaceComparisonOperator_IsNot_Eq;423;337;0,56
ReplaceComparisonOperator_IsNot_Gt;738;22;0,97
ReplaceComparisonOperator_IsNot_GtE;752;8;0,99
ReplaceComparisonOperator_IsNot_Is;1102;585;0,65
ReplaceComparisonOperator_IsNot_Lt;748;12;0,98
ReplaceComparisonOperator_IsNot_LtE;752;8;0,99
ReplaceComparisonOperator_IsNot_NotEq;0;760;0,00
ReplaceComparisonOperator_Is_Eq;1;354;0,00
ReplaceComparisonOperator_Is_Gt;114;241;0,32
ReplaceComparisonOperator_Is_GtE;103;252;0,29
ReplaceComparisonOperator_Is_IsNot;1163;190;0,86
ReplaceComparisonOperator_Is_Lt;199;156;0,56
ReplaceComparisonOperator_Is_LtE;189;166;0,53
ReplaceComparisonOperator_Is_NotEq;192;163;0,54
ReplaceComparisonOperator_LtE_Eq;1276;495;0,72
ReplaceComparisonOperator_LtE_Gt;1761;10;0,99
ReplaceComparisonOperator_LtE_GtE;1758;13;0,99
ReplaceComparisonOperator_LtE_Is;451;311;0,59
ReplaceComparisonOperator_LtE_IsNot;752;10;0,99
ReplaceComparisonOperator_LtE_Lt;1226;545;0,69
ReplaceComparisonOperator_LtE_NotEq;1742;29;0,98
ReplaceComparisonOperator_Lt_Eq;3931;804;0,83
ReplaceComparisonOperator_Lt_Gt;4339;396;0,92
ReplaceComparisonOperator_Lt_GtE;4590;145;0,97
ReplaceComparisonOperator_Lt_Is;2276;54;0,98
ReplaceComparisonOperator_Lt_IsNot;1305;1025;0,56
ReplaceComparisonOperator_Lt_LtE;1126;3609;0,24
ReplaceComparisonOperator_Lt_NotEq;3380;1355;0,71
ReplaceComparisonOperator_NotEq_Eq;465;3;0,99
ReplaceComparisonOperator_NotEq_Gt;130;338;0,28
ReplaceComparisonOperator_NotEq_GtE;465;3;0,99
ReplaceComparisonOperator_NotEq_Is;394;0;1,00
ReplaceComparisonOperator_NotEq_IsNot;0;394;0,00
ReplaceComparisonOperator_NotEq_Lt;258;210;0,55
ReplaceComparisonOperator_NotEq_LtE;465;3;0,99
ReplaceContinueWithBreak;576;272;0,68
ReplaceFalseWithTrue;373;259;0,59
ReplaceOrWithAnd;2213;389;0,85
ReplaceTrueWithFalse;345;183;0,65
ReplaceUnaryOperator_Delete_Not;5002;947;0,84
ReplaceUnaryOperator_Delete_USub;815;118;0,87
ReplaceUnaryOperator_USub_Invert;820;113;0,88
ReplaceUnaryOperator_USub_Not;842;91;0,90
ReplaceUnaryOperator_USub_UAdd;815;118;0,87
ZeroIterationForLoop;6687;462;0,94
