project,filename,mutants,killed_output,killed_timeout,total_killed,survived,mutation score
bfs,breadth_first_search.py,180,149,0,149,31,82.78
binheap,binheap.py,171,161,5,166,5,97.08
bst1,binary_search_tree.py,34,31,0,31,3,91.18
bst2,bst2.py,179,154,0,154,25,86.03
combinations,combinations.py,58,58,0,58,0,100.00
complement,complement.py,27,14,12,26,1,96.30
convert-base,convert_base.py,125,114,0,114,11,91.20
deque,deque.py,2,2,0,2,0,100.00
dfs,depth_first_search.py,166,142,0,142,24,85.54
dijkstras,dijkstras.py,35,30,1,31,4,88.57
dll,dll.py,111,92,1,93,18,83.78
edit-distance,edit_distance.py,500,414,14,428,72,85.60
factorial,factorial.py,36,35,0,35,1,97.22
fenwick,fenwick_tree.py,142,124,13,137,5,96.48
fibonacci,fibonacci.py,88,88,0,88,0,100.00
find-duplicates,find_duplicates.py,62,42,2,44,18,70.97
first-missing-positive,first_missing_positive.py,84,68,6,74,10,88.10
fizz-buzz,fizz_buzz.py,69,65,0,65,4,94.20
graph1,graph1.py,98,88,0,88,10,89.80
graph2,graph2.py,3,3,0,3,0,100.00
hamming,hamming_ops.py,29,18,10,28,1,96.55
hashmap,hash_map.py,173,157,5,162,11,93.64
heap,heap.py,321,241,37,278,43,86.60
heapsort,heapsort.py,84,72,0,72,12,85.71
linked-list1,linked_list1.py,44,35,6,41,3,93.18
linked-list2,linked_list2.py,72,69,0,69,3,95.83
long-comm,longest_common_prefix.py,30,26,0,26,4,86.67
lru-cache,lru_cache.py,26,19,0,19,7,73.08
mergesort,mergesort.py,50,48,0,48,2,96.00
naive-tree,naive_tree.py,29,29,0,29,0,100.00
perm-word,permutations.py,40,40,0,40,0,100.00
priority-queue1,priority_queue1.py,40,19,0,19,21,47.50
priority-queue2,priority_queue2.py,13,11,0,11,2,84.62
queue,a_queue.py,1,1,0,1,0,100.00
quicksort,quicksort.py,60,53,0,53,7,88.33
rabin-karp,rabin_karp_substring_search.py,266,226,3,229,37,86.09
radixsort,radixsort.py,63,48,6,54,9,85.71
stack,stack.py,,,,,,
trie,trie.py,29,3,0,3,26,10.34
word-squares,word_squares.py,24,21,0,21,3,87.50
